date,channel,traffic,conversion_rate,signups
2026-01-01,organic,4248.0,0.0431,191.0
2026-01-01,paid,2908.0,0.0655,196.0
2026-01-01,referral,961.0,0.086,71.0
2026-01-02,organic,3725.0,0.0421,159.0
2026-01-02,paid,2453.0,0.0571,150.0
2026-01-02,referral,898.0,0.0914,66.0
2026-01-03,organic,2254.0,0.0478,110.0
2026-01-03,paid,1344.0,0.0528,64.0
2026-01-03,referral,575.0,0.0952,39.0
2026-01-04,organic,2232.0,0.0515,125.0
2026-01-04,paid,1329.0,0.0647,97.0
2026-01-04,referral,439.0,0.0981,43.0
2026-01-05,organic,4798.0,0.046,232.0
2026-01-05,paid,2727.0,0.0591,181.0
2026-01-05,referral,939.0,0.0947,84.0
2026-01-06,organic,3689.0,0.0493,178.0
2026-01-06,paid,2699.0,0.0564,133.0
2026-01-06,referral,899.0,0.0836,72.0
2026-01-07,organic,4141.0,0.0482,192.0
2026-01-07,paid,2678.0,0.0557,152.0
2026-01-07,referral,1038.0,0.084,96.0
2026-01-08,organic,4239.0,0.042,198.0
2026-01-08,paid,2557.0,0.0566,153.0
2026-01-08,referral,856.0,0.0881,74.0
2026-01-09,organic,3873.0,0.0434,165.0
2026-01-09,paid,2513.0,0.0554,118.0
2026-01-09,referral,901.0,0.0889,97.0
2026-01-10,organic,2510.0,0.0452,101.0
2026-01-10,paid,1485.0,0.0635,102.0
2026-01-10,referral,496.0,0.0857,46.0
2026-01-11,organic,2273.0,0.0434,101.0
2026-01-11,paid,1416.0,0.0555,80.0
2026-01-11,referral,484.0,0.0925,37.0
2026-01-12,organic,3973.0,0.0512,178.0
2026-01-12,paid,2405.0,0.0621,153.0
2026-01-12,referral,946.0,0.0877,61.0
2026-01-13,organic,4489.0,0.0447,199.0
2026-01-13,paid,2668.0,0.0498,161.0
2026-01-13,referral,957.0,0.0968,91.0
2026-01-14,organic,4060.0,0.0461,191.0
2026-01-14,paid,2869.0,0.0624,179.0
2026-01-14,referral,1019.0,0.0821,74.0
2026-01-15,organic,4155.0,0.0424,175.0
2026-01-15,paid,2657.0,0.0546,154.0
2026-01-15,referral,974.0,0.0858,77.0
2026-01-16,organic,4102.0,0.0461,222.0
2026-01-16,paid,2330.0,0.0662,164.0
2026-01-16,referral,843.0,0.0953,83.0
2026-01-17,organic,2258.0,0.0493,97.0
2026-01-17,paid,1559.0,0.0627,96.0
2026-01-17,referral,576.0,0.0858,44.0
2026-01-18,organic,2481.0,0.0484,119.0
2026-01-18,paid,1312.0,0.0538,66.0
2026-01-18,referral,498.0,0.0912,46.0
2026-01-19,organic,3889.0,0.0386,151.0
2026-01-19,paid,2601.0,0.0631,160.0
2026-01-19,referral,902.0,0.081,77.0
2026-01-20,organic,4123.0,0.0422,157.0
2026-01-20,paid,2640.0,0.0551,139.0
2026-01-20,referral,932.0,0.0879,82.0
2026-01-21,organic,4531.0,0.0441,187.0
