date,channel,traffic,conversion_rate,signups
2026-01-01,organic,4714.0,0.0358,174.0
2026-01-01,paid,2554.0,0.059,164.0
2026-01-01,referral,896.0,0.1139,105.0
2026-01-02,organic,3736.0,0.0426,155.0
2026-01-02,paid,2511.0,0.059,127.0
2026-01-02,referral,883.0,0.0864,59.0
2026-01-03,organic,2679.0,0.044,105.0
2026-01-03,paid,1420.0,0.0586,77.0
2026-01-03,referral,448.0,0.0974,40.0
2026-01-04,organic,2236.0,0.0475,116.0
2026-01-04,paid,1377.0,0.0597,73.0
2026-01-04,referral,501.0,0.098,45.0
2026-01-05,organic,4347.0,0.0471,201.0
2026-01-05,paid,2661.0,0.048,130.0
2026-01-05,referral,852.0,0.0904,70.0
2026-01-06,organic,4504.0,0.0492,231.0
2026-01-06,paid,2350.0,0.0576,141.0
2026-01-06,referral,1065.0,0.0814,88.0
2026-01-07,organic,4684.0,0.0449,209.0
2026-01-07,paid,2972.0,0.0636,179.0
2026-01-07,referral,992.0,0.0854,75.0
2026-01-08,organic,4545.0,0.0397,187.0
2026-01-08,paid,2428.0,0.0517,120.0
2026-01-08,referral,988.0,0.0916,101.0
2026-01-09,organic,3745.0,0.0479,175.0
2026-01-09,paid,2359.0,0.0626,154.0
2026-01-09,referral,932.0,0.1008,87.0
2026-01-10,organic,2312.0,0.0469,108.0
2026-01-10,paid,1684.0,0.0591,85.0
2026-01-10,referral,597.0,0.0953,55.0
2026-01-11,organic,2175.0,0.0421,91.0
2026-01-11,paid,1350.0,0.0578,76.0
2026-01-11,referral,467.0,0.0935,47.0
2026-01-12,organic,4060.0,0.0408,161.0
2026-01-12,paid,2759.0,0.06,165.0
2026-01-12,referral,953.0,0.079,68.0
2026-01-13,organic,4108.0,0.0438,178.0
2026-01-13,paid,2804.0,0.0681,184.0
2026-01-13,referral,944.0,0.091,84.0
2026-01-14,organic,4737.0,0.044,225.0
2026-01-14,paid,2611.0,0.0704,182.0
2026-01-14,referral,970.0,0.0872,81.0
2026-01-15,organic,4021.0,0.0407,151.0
2026-01-15,paid,2882.0,0.0613,157.0
2026-01-15,referral,854.0,0.0955,71.0
2026-01-16,organic,3797.0,0.0491,189.0
2026-01-16,paid,2426.0,0.0573,141.0
2026-01-16,referral,848.0,0.0886,79.0
2026-01-17,organic,2092.0,0.0444,101.0
2026-01-17,paid,1614.0,0.0506,76.0
2026-01-17,referral,506.0,0.0938,45.0
2026-01-18,organic,2165.0,0.0445,90.0
2026-01-18,paid,1362.0,0.0541,75.0
2026-01-18,referral,461.0,0.0853,41.0
2026-01-19,organic,3945.0,0.0422,178.0
2026-01-19,paid,2597.0,0.0606,161.0
2026-01-19,referral,956.0,0.1064,106.0
2026-01-20,organic,4015.0,0.0514,214.0
2026-01-20,paid,2706.0,0.0555,124.0
2026-01-20,referral,944.0,0.0987,91.0
2026-01-21,organic,4537.0,0.0471,196.0
2026-01-21,paid,2908.0,0.0611,163.0
2026-01-21,referral,1083.0,0.0885,98.0
2026-01-22,organic,4508.0,0.0384,170.0
2026-01-22,paid,2497.0,0.0671,183.0
2026-01-22,referral,894.0,0.1033,82.0
2026-01-23,organic,3810.0,0.0369,133.0
2026-01-23,paid,2211.0,0.0535,115.0
2026-01-23,referral,768.0,0.0851,54.0
2026-01-24,organic,2535.0,0.0505,119.0
2026-01-24,paid,1383.0,0.0599,91.0
2026-01-24,referral,558.0,0.0868,40.0
2026-01-25,organic,2157.0,0.0403,83.0
2026-01-25,paid,1284.0,0.0554,76.0
2026-01-25,referral,582.0,0.0967,60.0
2026-01-26,organic,4478.0,0.0422,195.0
2026-01-26,paid,2528.0,0.0671,171.0
2026-01-26,referral,957.0,0.1004,98.0
2026-01-27,organic,4347.0,0.048,235.0
