date,channel,traffic,conversion_rate,signups
2026-01-01,organic,4200.0,0.0461,183.0
2026-01-01,paid,2634.0,0.0664,180.0
2026-01-01,referral,973.0,0.0926,91.0
2026-01-02,organic,3793.0,0.0475,185.0
2026-01-02,paid,2194.0,0.0613,125.0
2026-01-02,referral,726.0,0.0861,51.0
2026-01-03,organic,2421.0,0.0415,97.0
2026-01-03,paid,1427.0,0.0598,96.0
2026-01-03,referral,536.0,0.0908,45.0
2026-01-04,organic,2216.0,0.0427,95.0
2026-01-04,paid,1276.0,0.0604,84.0
2026-01-04,referral,515.0,0.0895,48.0
2026-01-05,organic,3901.0,0.0429,180.0
2026-01-05,paid,2805.0,0.0536,139.0
2026-01-05,referral,832.0,0.0867,64.0
2026-01-06,organic,4499.0,0.0438,216.0
2026-01-06,paid,2947.0,0.0579,187.0
2026-01-06,referral,965.0,0.0886,73.0
2026-01-07,organic,4205.0,0.0492,184.0
2026-01-07,paid,2808.0,0.0584,158.0
2026-01-07,referral,1006.0,0.0807,80.0
2026-01-08,organic,3687.0,0.0439,165.0
2026-01-08,paid,2979.0,0.056,173.0
2026-01-08,referral,973.0,0.0887,76.0
2026-01-09,organic,3782.0,0.0451,178.0
2026-01-09,paid,2253.0,0.0647,132.0
2026-01-09,referral,825.0,0.0891,76.0
2026-01-10,organic,2452.0,0.0373,91.0
2026-01-10,paid,1568.0,0.0559,93.0
2026-01-10,referral,490.0,0.099,53.0
2026-01-11,organic,2128.0,0.0448,92.0
2026-01-11,paid,1270.0,0.066,84.0
2026-01-11,referral,495.0,0.085,46.0
2026-01-12,organic,3853.0,0.0421,149.0
2026-01-12,paid,2459.0,0.0616,155.0
2026-01-12,referral,933.0,0.0854,98.0
2026-01-13,organic,4314.0,0.0453,201.0
2026-01-13,paid,2613.0,0.0593,138.0
2026-01-13,referral,989.0,0.0898,89.0
2026-01-14,organic,4483.0,0.0439,190.0
2026-01-14,paid,2891.0,0.0633,203.0
2026-01-14,referral,891.0,0.0968,84.0
2026-01-15,organic,4337.0,0.0478,208.0
2026-01-15,paid,2553.0,0.0673,165.0
2026-01-15,referral,973.0,0.0963,110.0
2026-01-16,organic,3539.0,0.0389,146.0
2026-01-16,paid,2373.0,0.064,145.0
2026-01-16,referral,868.0,0.0903,75.0
2026-01-17,organic,2376.0,0.0415,90.0
2026-01-17,paid,1494.0,0.062,101.0
2026-01-17,referral,508.0,0.0836,36.0
2026-01-18,organic,2467.0,0.04,121.0
2026-01-18,paid,1374.0,0.053,70.0
2026-01-18,referral,493.0,0.0906,49.0
2026-01-19,organic,4026.0,0.0379,154.0
2026-01-19,paid,2542.0,0.0664,178.0
2026-01-19,referral,954.0,0.0903,88.0
2026-01-20,organic,4529.0,0.047,215.0
2026-01-20,paid,2783.0,0.0567,154.0
2026-01-20,referral,964.0,0.0899,96.0
2026-01-21,organic,4304.0,0.0453,196.0
2026-01-21,paid,2671.0,0.0657,196.0
2026-01-21,referral,1061.0,0.086,93.0
2026-01-22,organic,4136.0,0.0443,191.0
2026-01-22,paid,2534.0,0.057,146.0
2026-01-22,referral,882.0,0.0895,88.0
2026-01-23,organic,3825.0,0.0393,140.0
2026-01-23,paid,2501.0,0.0563,142.0
2026-01-23,referral,933.0,0.0877,86.0
2026-01-24,organic,2466.0,0.0523,132.0
2026-01-24,paid,1406.0,0.0615,90.0
2026-01-24,referral,581.0,0.0835,39.0
