date,channel,traffic,conversion_rate,signups
2026-01-01,organic,4036.0,0.0444,194.0
2026-01-01,paid,2527.0,0.0607,174.0
2026-01-01,referral,963.0,0.0937,106.0
2026-01-02,organic,3725.0,0.0418,142.0
2026-01-02,paid,2586.0,0.0512,130.0
2026-01-02,referral,895.0,0.0747,82.0
2026-01-03,organic,2426.0,0.0486,121.0
2026-01-03,paid,1428.0,0.059,83.0
2026-01-03,referral,517.0,0.0856,40.0
2026-01-04,organic,2169.0,0.0445,99.0
2026-01-04,paid,1351.0,0.0622,94.0
2026-01-04,referral,495.0,0.0956,46.0
2026-01-05,organic,4467.0,0.0456,211.0
2026-01-05,paid,2503.0,0.054,133.0
2026-01-05,referral,878.0,0.1033,94.0
2026-01-06,organic,4105.0,0.0441,183.0
2026-01-06,paid,2542.0,0.0596,158.0
2026-01-06,referral,912.0,0.0973,84.0
2026-01-07,organic,3936.0,0.0397,143.0
2026-01-07,paid,2699.0,0.0566,152.0
2026-01-07,referral,1038.0,0.0937,96.0
2026-01-08,organic,4397.0,0.0463,204.0
2026-01-08,paid,2705.0,0.0532,138.0
2026-01-08,referral,944.0,0.0882,85.0
2026-01-09,organic,3591.0,0.0466,172.0
2026-01-09,paid,2697.0,0.0703,200.0
2026-01-09,referral,848.0,0.091,67.0
2026-01-10,organic,2509.0,0.0472,108.0
2026-01-10,paid,1262.0,0.0588,74.0
2026-01-10,referral,543.0,0.0838,53.0
2026-01-11,organic,2281.0,0.0479,108.0
2026-01-11,paid,1405.0,0.0599,64.0
2026-01-11,referral,479.0,0.0853,42.0
2026-01-12,organic,4174.0,0.0519,193.0
2026-01-12,paid,2626.0,0.0579,150.0
2026-01-12,referral,969.0,0.1004,88.0
2026-01-13,organic,4519.0,0.0456,211.0
2026-01-13,paid,2705.0,0.0459,116.0
2026-01-13,referral,965.0,0.0873,79.0
2026-01-14,organic,4399.0,0.0442,180.0
2026-01-14,paid,2693.0,0.0558,143.0
2026-01-14,referral,878.0,0.0985,100.0
2026-01-15,organic,4297.0,0.0401,187.0
2026-01-15,paid,2763.0,0.0577,159.0
2026-01-15,referral,1044.0,0.0909,94.0
2026-01-16,organic,3873.0,0.0516,190.0
2026-01-16,paid,2351.0,0.0544,131.0
2026-01-16,referral,855.0,0.0936,92.0
2026-01-17,organic,2323.0,0.0497,113.0
2026-01-17,paid,1336.0,0.0641,77.0
2026-01-17,referral,563.0,0.0907,46.0
2026-01-18,organic,2180.0,0.0445,100.0
2026-01-18,paid,1452.0,0.0693,98.0
2026-01-18,referral,476.0,0.0946,59.0
2026-01-19,organic,4356.0,0.0464,214.0
2026-01-19,paid,2609.0,0.0595,143.0
2026-01-19,referral,896.0,0.0969,78.0
2026-01-20,organic,4427.0,0.0514,198.0
2026-01-20,paid,2877.0,0.0546,158.0
2026-01-20,referral,1016.0,0.1089,104.0
2026-01-21,organic,4290.0,0.0441,172.0
2026-01-21,paid,2976.0,0.057,162.0
2026-01-21,referral,1025.0,0.0992,90.0
2026-01-22,organic,4251.0,0.0452,206.0
2026-01-22,paid,2382.0,0.0613,158.0
2026-01-22,referral,875.0,0.0888,75.0
2026-01-23,organic,3797.0,0.0475,164.0
2026-01-23,paid,2386.0,0.0556,115.0
2026-01-23,referral,841.0,0.0835,75.0
2026-01-24,organic,2427.0,0.049,123.0
2026-01-24,paid,1609.0,0.0609,94.0
2026-01-24,referral,551.0,0.0935,51.0
2026-01-25,organic,2274.0,0.0409,93.0
2026-01-25,paid,1327.0,0.0567,81.0
2026-01-25,referral,489.0,0.0875,58.0
2026-01-26,organic,4192.0,0.045,174.0
2026-01-26,paid,2304.0,0.06,119.0
2026-01-26,referral,860.0,0.0885,79.0
2026-01-27,organic,4389.0,0.0455,202.0
2026-01-27,paid,2472.0,0.0494,120.0
2026-01-27,referral,877.0,0.0862,70.0
2026-01-28,organic,4117.0,0.036,126.0
2026-01-28,paid,2799.0,0.0659,176.0
2026-01-28,referral,913.0,0.0918,89.0
2026-01-29,organic,4611.0,0.0415,188.0
2026-01-29,paid,2779.0,0.0573,188.0
2026-01-29,referral,910.0,0.0806,68.0
2026-01-30,organic,3657.0,0.0445,134.0
2026-01-30,paid,2453.0,0.0679,168.0
2026-01-30,referral,959.0,0.0849,89.0
2026-01-31,organic,2432.0,0.0434,106.0
2026-01-31,paid,1415.0,0.0573,84.0
2026-01-31,referral,529.0,0.081,50.0
2026-02-01,organic,2082.0,0.0404,87.0
2026-02-01,paid,1300.0,0.0609,72.0
2026-02-01,referral,466.0,0.0938,36.0
2026-02-02,organic,4056.0,0.0467,197.0
2026-02-02,paid,2728.0,0.0639,165.0
