date,channel,traffic,conversion_rate,signups
2026-01-01,organic,3922.0,0.0424,176.0
2026-01-01,paid,2586.0,0.0606,150.0
2026-01-01,referral,902.0,0.0841,68.0
2026-01-02,organic,3760.0,0.0465,163.0
2026-01-02,paid,2267.0,0.0631,155.0
2026-01-02,referral,833.0,0.0973,81.0
2026-01-03,organic,2366.0,0.0384,96.0
2026-01-03,paid,1507.0,0.0674,102.0
2026-01-03,referral,560.0,0.0882,56.0
2026-01-04,organic,2301.0,0.0468,92.0
2026-01-04,paid,1390.0,0.0536,70.0
2026-01-04,referral,456.0,0.0937,32.0
2026-01-05,organic,4349.0,0.0371,172.0
2026-01-05,paid,2664.0,0.0568,136.0
2026-01-05,referral,938.0,0.0949,100.0
2026-01-06,organic,4243.0,0.0436,184.0
2026-01-06,paid,2830.0,0.0573,150.0
2026-01-06,referral,947.0,0.0799,85.0
2026-01-07,organic,4404.0,0.0432,169.0
2026-01-07,paid,2680.0,0.057,148.0
2026-01-07,referral,1037.0,0.0792,74.0
2026-01-08,organic,4405.0,0.0455,200.0
2026-01-08,paid,2611.0,0.0619,160.0
2026-01-08,referral,934.0,0.0966,96.0
2026-01-09,organic,3776.0,0.0486,199.0
2026-01-09,paid,2331.0,0.0601,142.0
2026-01-09,referral,878.0,0.0973,86.0
2026-01-10,organic,2574.0,0.0424,133.0
2026-01-10,paid,1646.0,0.0565,83.0
2026-01-10,referral,538.0,0.09,57.0
2026-01-11,organic,2139.0,0.0406,97.0
2026-01-11,paid,1354.0,0.0618,98.0
2026-01-11,referral,507.0,0.0848,36.0
2026-01-12,organic,4170.0,0.0497,192.0
2026-01-12,paid,2522.0,0.0573,135.0
2026-01-12,referral,1027.0,0.0876,102.0
2026-01-13,organic,4298.0,0.0358,162.0
2026-01-13,paid,2486.0,0.0562,139.0
2026-01-13,referral,911.0,0.1036,113.0
2026-01-14,organic,3573.0,0.0387,146.0
2026-01-14,paid,2225.0,0.0576,126.0
2026-01-14,referral,975.0,0.0911,95.0
2026-01-15,organic,4007.0,0.0458,174.0
2026-01-15,paid,2354.0,0.06,152.0
2026-01-15,referral,821.0,0.0924,69.0
2026-01-16,organic,3733.0,0.0467,177.0
2026-01-16,paid,2549.0,0.0583,151.0
2026-01-16,referral,952.0,0.0834,80.0
2026-01-17,organic,2262.0,0.0443,90.0
2026-01-17,paid,1460.0,0.0578,81.0
2026-01-17,referral,548.0,0.0923,46.0
2026-01-18,organic,2117.0,0.0476,88.0
2026-01-18,paid,1381.0,0.062,81.0
2026-01-18,referral,463.0,0.0885,38.0
